image_id,year,image_path,mean_brightness,mean_red,mean_green,mean_blue
00051,1883,"data/MA_Menyer/menus_by_year_swedish_only/1883/7121_alvin-record_548133_Meny, Lorentzberg, 1883/0003.jpg",0.4870507627018043,0.5316329656862746,0.5167997772470811,0.4127195451720574
00052,1883,"data/MA_Menyer/menus_by_year_swedish_only/1883/7437_alvin-record_548439_Meny, Lorentzberg, 1883/0001.jpg",0.7363214960192783,0.7867167499418165,0.7570419775848025,0.6652057605312154
00053,1883,"data/MA_Menyer/menus_by_year_swedish_only/1883/7437_alvin-record_548439_Meny, Lorentzberg, 1883/0002.jpg",0.7457200337188971,0.799145874541337,0.7671037402534114,0.6709104863619424
00054,1883,"data/MA_Menyer/menus_by_year_swedish_only/1883/7439_alvin-record_548427_Meny, Lorentzberg, 1883/0001.jpg",0.739050669625893,0.8130317434023028,0.7600426739554833,0.6440775915198927
00055,1883,"data/MA_Menyer/menus_by_year_swedish_only/1883/7440_alvin-record_548358_Meny, Lorentzberg, 1883/0001.jpg",0.7785351760061664,0.8937044544380252,0.8103743124854109,0.6315267610950629
00056,1883,"data/MA_Menyer/menus_by_year_swedish_only/1883/7441_alvin-record_548444_Meny, Skandinaviska Sjöfartsmötet, 1883/0001.jpg",0.6022234729395229,0.6402885828810692,0.6233443800697364,0.5430374558677639
00057,1883,"data/MA_Menyer/menus_by_year_swedish_only/1883/7441_alvin-record_548444_Meny, Skandinaviska Sjöfartsmötet, 1883/0002.jpg",0.7476387495102207,0.8145199681435075,0.7702811593387355,0.6581151210484193
00058,1883,"data/MA_Menyer/menus_by_year_swedish_only/1883/7441_alvin-record_548444_Meny, Skandinaviska Sjöfartsmötet, 1883/0003.jpg",0.6991999637230515,0.7266400534094235,0.7198827096136962,0.6510771281460346
00059,1883,"data/MA_Menyer/menus_by_year_swedish_only/1883/7442_alvin-record_548373_Meny, Lorentzberg, 1883/0001.jpg",0.6757610448667597,0.6418392171408622,0.6638152882629312,0.7216286291964856
00060,1883,"data/MA_Menyer/menus_by_year_swedish_only/1883/7443_alvin-record_548383_Meny, Lorentzberg, 1883/0001.jpg",0.754757155838526,0.8279085294832219,0.7755414889169954,0.6608214491153603
